Name,Category,Pricing,Description,Link
Desmos,Math,Free,An advanced online graphing calculator and math tool.,https://www.desmos.com
Geogebra,Math,Free,"Interactive geometry, algebra, and calculus application.",https://www.geogebra.org
WolframAlpha,Research,Freemium,Computational intelligence platform for solving complex homework equations.,https://www.wolframalpha.com
Symbolab,Math,Freemium,Advanced math solver that shows step-by-step solutions.,https://www.symbolab.com
GeoGebra 3D,Math,Free,3D graphing and geometry visualization tool for math students.,https://www.geogebra.org/3d
Desmos Matrix,Math,Free,Matrix calculator and linear algebra tool.,https://www.desmos.com/matrix
Integral Calculator,Math,Free,Step-by-step integration and differentiation solver.,https://www.integral-calculator.com
Derivative Calculator,Math,Free,Online tool to compute derivatives with steps.,https://www.derivative-calculator.net
Mathway,Math,Freemium,"Instant math problem solver across algebra, calculus, and statistics.",https://www.mathway.com
Photomath,Math,Freemium,Scan math problems using your camera for instant step-by-step solutions.,https://photomath.com
GeeksforGeeks,Programming,Free,Computer science portal for programmers featuring code and tutorials.,https://www.geeksforgeeks.org
LeetCode,Programming,Freemium,Platform to practice coding interview questions and algorithms.,https://leetcode.com
GitHub,Programming,Free,Platform for version control and collaborating on software projects.,https://github.com
Stack Overflow,Programming,Free,Community-driven Q&A platform for software developers and coders.,https://stackoverflow.com
W3Schools,Programming,Free,"Web development tutorials covering HTML, CSS, JavaScript, and Python.",https://www.w3schools.com
MDN Web Docs,Programming,Free,Comprehensive documentation for web technologies including JavaScript and CSS.,https://developer.mozilla.org
Python Docs,Programming,Free,Official documentation and reference manuals for the Python programming language.,https://docs.python.org
HackerRank,Programming,Free,Coding practice platform for technical hiring and algorithm challenges.,https://www.hackerrank.com
Programiz,Programming,Freemium,Beginner-friendly tutorials and code editors for learning Python and C++.,https://www.programiz.com
Replit,Programming,Freemium,Collaborative browser-based IDE to write and run code instantly.,https://replit.com
Notion,Productivity,Free,"All-in-one workspace for notes, task management, and student planners.",https://www.notion.so
Anki,Studying,Free,Flashcard program utilizing spaced repetition for efficient memorization.,https://apps.ankiweb.net
Quizlet,Studying,Freemium,Digital flashcards and study games created by students and teachers.,https://quizlet.com
Overleaf,Writing,Freemium,Collaborative cloud-based LaTeX editor for academic writing and papers.,https://www.overleaf.com
Grammarly,Writing,Freemium,AI-powered writing assistant for grammar and spelling checks.,https://www.grammarly.com
Todoist,Productivity,Freemium,Task manager and to-do list app to organize daily student schedules.,https://todoist.com
Obsidian,Productivity,Free,Powerful knowledge base that works on local Markdown files.,https://obsidian.md
Google Docs,Writing,Free,Collaborative online word processor for writing essays and reports.,https://docs.google.com
Canva,Design,Freemium,Graphic design platform for creating presentation slides and infographics.,https://www.canva.com
Forest,Productivity,Freemium,Gamified focus timer app to prevent phone distraction while studying.,https://www.forestapp.cc
